Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:54:29:29.819,61,0.0236385893,0.1102682203,0.0530948751,0.0000000000,0.0000000000,0.0499309599,0.0000000000,0.0238376129,0.1102588102,0.0639255494,0.0000000000,0.0000000000,0.0499275997,0.0000000000,0.0085800979,0.0062180012,0.0000000000,0.0151480800,0.0189692192,0.0124432985,0.0479701087,0.0000000000,0.0344727635,0.0288721565,0.0920496807,0.0000000000,0.0000000000,0.0075705592,0.0082251448,0.0267835744,0.0272001773,0.0159317460,0.0178340320,0.0542913899,0.0307436828,0.0218065567,0.0235554241,0.0197945014,0.0182245132,0.0048853899,0.0059452127,0.0656602383,0.0659024566,0.0154030621,0.0000000000,0.0000000000,0.0142982863,0.0195214842,0.0221216045,0.0454848856,0.0486595221,0.0000000417,0.0000000000,0.0000000000,0.0000000000,-0.0389613062,0.0674045011,-0.0026294808,0.0323602371,0.0673943758,0.0021838211
11:54:29:30.820,61,0.0226461012,0.1114380509,0.0514252149,0.0000000000,0.0000000000,0.0497305505,0.0000000000,0.0228109341,0.1114199534,0.0656522363,0.0000000000,0.0000000000,0.0497272573,0.0000000000,0.0085033085,0.0061274213,0.0000000000,0.0151088331,0.0189103521,0.0123839723,0.0484024100,0.0000000000,0.0333589464,0.0316077583,0.0921497196,0.0000000000,0.0000000000,0.0075491299,0.0081851697,0.0265936200,0.0269631743,0.0159008633,0.0178238861,0.0544125028,0.0308288671,0.0217816550,0.0235191919,0.0197595023,0.0181669910,0.0048903096,0.0059337127,0.0658925474,0.0660935566,0.0153489728,0.0000000000,0.0000000000,0.0142369671,0.0194196627,0.0219531003,0.0456315912,0.0487234369,0.0000000345,0.0000000000,0.0000000000,0.0000000000,-0.0400117710,0.0681171864,-0.0027289775,0.0313410945,0.0681071356,0.0021375057
11:54:29:31.822,61,0.0223034788,0.1146593764,0.0526785627,0.0000000000,0.0000000000,0.0493696630,0.0000000000,0.0224539749,0.1146458760,0.0644696951,0.0000000000,0.0000000000,0.0493662618,0.0000000000,0.0084229261,0.0059583751,0.0000000000,0.0150215626,0.0187969320,0.0122763179,0.0486244857,0.0000000000,0.0325864889,0.0328055546,0.0919646472,0.0000000000,0.0000000000,0.0075112632,0.0081305066,0.0263676103,0.0267022178,0.0158480927,0.0177675318,0.0544744283,0.0309066288,0.0217479914,0.0234725401,0.0196570419,0.0180549622,0.0048922957,0.0059204642,0.0658031181,0.0659831539,0.0153043056,0.0000000000,0.0000000000,0.0141826738,0.0193043277,0.0217671841,0.0456662886,0.0486676209,0.0000000174,0.0000000000,0.0000000000,0.0000000000,-0.0392857045,0.0700873360,-0.0027572317,0.0321005769,0.0700775981,0.0022528304
11:54:29:32.824,61,0.0220918898,0.1131436825,0.0536895767,0.0000000000,0.0000000000,0.0492401384,0.0000000000,0.0222380292,0.1131358817,0.0634144545,0.0000000000,0.0000000000,0.0492367782,0.0000000000,0.0084130354,0.0058779228,0.0000000000,0.0150166731,0.0188023560,0.0122921951,0.0491232052,0.0000000000,0.0315393172,0.0335936844,0.0917571858,0.0000000000,0.0000000000,0.0075060348,0.0081099560,0.0264159217,0.0267106239,0.0158504974,0.0177295804,0.0546715483,0.0310198274,0.0217605699,0.0234781597,0.0196717661,0.0180448107,0.0049230172,0.0059345863,0.0637360290,0.0639148578,0.0153591326,0.0000000000,0.0000000000,0.0141748451,0.0193704963,0.0217829552,0.0458595715,0.0487698130,0.0000000285,0.0000000000,0.0000000000,0.0000000000,-0.0386451669,0.0691624954,-0.0026763936,0.0327187628,0.0691526160,0.0022657935
11:54:29:33.825,61,0.0224855505,0.1133325770,0.0547844246,0.0000000000,0.0000000000,0.0492814891,0.0000000000,0.0227034222,0.1133302003,0.0622862391,0.0000000000,0.0000000000,0.0492781587,0.0000000000,0.0084520178,0.0057107206,0.0000000000,0.0151136881,0.0189482030,0.0124240797,0.0493868962,0.0000000000,0.0312447660,0.0337260142,0.0918268040,0.0000000000,0.0000000000,0.0075358655,0.0081356149,0.0265992470,0.0268921629,0.0158809088,0.0177483391,0.0547996201,0.0310635883,0.0218066461,0.0235277452,0.0198157951,0.0181697626,0.0049570459,0.0059684203,0.0620480664,0.0623053685,0.0154430317,0.0000000000,0.0000000000,0.0141680455,0.0195315126,0.0219410285,0.0462068766,0.0491196588,0.0000000566,0.0000000000,0.0000000000,0.0000000000,-0.0379573144,0.0692794695,-0.0026332396,0.0333857089,0.0692695975,0.0023158863
11:54:29:34.827,61,0.0241207089,0.1125989556,0.0558410622,0.0000000000,0.0000000000,0.0493759699,0.0000000000,0.0244018119,0.1126021221,0.0611708276,0.0000000000,0.0000000000,0.0493725166,0.0000000000,0.0085000396,0.0054968190,0.0000000000,0.0151782855,0.0190475658,0.0125735290,0.0495699383,0.0000000000,0.0310627893,0.0322952643,0.0914108232,0.0000000000,0.0000000000,0.0075397952,0.0081342319,0.0267922916,0.0270893481,0.0158857033,0.0177443326,0.0549017526,0.0311021525,0.0218854584,0.0236123577,0.0199117102,0.0182527434,0.0049846857,0.0059958883,0.0603344627,0.0606391355,0.0155047206,0.0000000000,0.0000000000,0.0141786300,0.0196770951,0.0220756922,0.0465029776,0.0494209863,0.0000000890,0.0000000000,0.0000000000,0.0000000000,-0.0372787304,0.0688326210,-0.0025694524,0.0340306722,0.0688226968,0.0023453308
11:54:29:35.828,61,0.0248778295,0.1124057919,0.0570359826,0.0000000000,0.0000000000,0.0493855290,0.0000000000,0.0251812730,0.1124149263,0.0599448383,0.0000000000,0.0000000000,0.0493819676,0.0000000000,0.0085741607,0.0052815350,0.0000000000,0.0153437257,0.0192795470,0.0128162755,0.0497268438,0.0000000000,0.0309749637,0.0319927968,0.0915782750,0.0000000000,0.0000000000,0.0075976006,0.0081933774,0.0270686764,0.0273627397,0.0159335770,0.0177998990,0.0549900047,0.0311188567,0.0219646338,0.0236954987,0.0201933272,0.0185100902,0.0050359522,0.0060544102,0.0596550368,0.0599773712,0.0156128034,0.0000000000,0.0000000000,0.0141558964,0.0198799595,0.0222637709,0.0469171852,0.0498546623,0.0000001219,0.0000000000,0.0000000000,0.0000000000,-0.0365318805,0.0687162951,-0.0025137297,0.0347591676,0.0687063634,0.0023914552
11:54:29:36.830,61,0.0250537395,0.1116778255,0.0578497574,0.0000000000,0.0000000000,0.0493869409,0.0000000000,0.0253691450,0.1116911620,0.0590944439,0.0000000000,0.0000000000,0.0493833460,0.0000000000,0.0086096283,0.0052194218,0.0000000000,0.0154336356,0.0193999037,0.0129004400,0.0497180559,0.0000000000,0.0306652691,0.0321920514,0.0919328481,0.0000000000,0.0000000000,0.0076295282,0.0082190959,0.0272257682,0.0274909232,0.0159508940,0.0177988932,0.0549767762,0.0310930349,0.0219849329,0.0237196013,0.0203036796,0.0186004154,0.0050532469,0.0060674748,0.0591945909,0.0595233440,0.0156781469,0.0000000000,0.0000000000,0.0141195571,0.0199982226,0.0223545935,0.0470221527,0.0499461554,0.0000001294,0.0000000000,0.0000000000,0.0000000000,-0.0360147245,0.0682725832,-0.0024621086,0.0352561735,0.0682625920,0.0024099192
11:54:29:37.833,61,0.0251466781,0.1118284613,0.0583254583,0.0000000000,0.0000000000,0.0492359288,0.0000000000,0.0254619084,0.1118442267,0.0585646518,0.0000000000,0.0000000000,0.0492323563,0.0000000000,0.0086410725,0.0051836325,0.0000000000,0.0154853407,0.0194739476,0.0129738897,0.0498084538,0.0000000000,0.0302617550,0.0335080735,0.0923672616,0.0000000000,0.0000000000,0.0076582213,0.0082422169,0.0273040365,0.0275486242,0.0159810167,0.0178012233,0.0550863706,0.0311482344,0.0220483094,0.0237793121,0.0203840584,0.0186616555,0.0050811600,0.0060886126,0.0589998625,0.0593245067,0.0157294106,0.0000000000,0.0000000000,0.0141064739,0.0200877339,0.0224077199,0.0471323468,0.0500128791,0.0000001177,0.0000000000,0.0000000000,0.0000000000,-0.0356916152,0.0683653727,-0.0024433555,0.0355458632,0.0683553591,0.0024330248
11:54:29:38.834,61,0.0253932998,0.1142735779,0.0590244532,0.0000000000,0.0000000000,0.0491462573,0.0000000000,0.0257051289,0.1142924726,0.0578449406,0.0000000000,0.0000000000,0.0491426513,0.0000000000,0.0086663002,0.0050503956,0.0000000000,0.0155128408,0.0195109025,0.0130432295,0.0498977192,0.0000000000,0.0299568046,0.0339236222,0.0921840295,0.0000000000,0.0000000000,0.0076731946,0.0082526151,0.0273193587,0.0275679640,0.0160083398,0.0178257935,0.0552402660,0.0312389564,0.0221133679,0.0238295384,0.0204391424,0.0187048893,0.0051116920,0.0061120074,0.0605166778,0.0607875325,0.0157664400,0.0000000000,0.0000000000,0.0140876919,0.0201106500,0.0223826095,0.0473022051,0.0501213074,0.0000000940,0.0000000000,0.0000000000,0.0000000000,-0.0352493487,0.0698607713,-0.0024660449,0.0359681435,0.0698510185,0.0025159572
